Soil_ID; SNAM
10492;soil10492
10827;soil10827
10830;soil10830
10834;soil10834
10837;soil10837
10839;soil10839
10841;soil10841
10843;soil10843
10848;soil10848
10849;soil10849
10850;soil10850
10851;soil10851
10852;soil10852
10853;soil10853
10854;soil10854
10855;soil10855
10856;soil10856
10857;soil10857
10858;soil10858
10859;soil10859
10860;soil10860
10861;soil10861
10862;soil10862
10863;soil10863
10864;soil10864
10865;soil10865
10866;soil10866
10867;soil10867
10869;soil10869
10870;soil10870
10898;soil10898
10927;soil10927
10928;soil10928
10936;soil10936
10951;soil10951
11007;soil11007
11008;soil11008
11009;soil11009
11010;soil11010
11011;soil11011
11012;soil11012
11013;soil11013
11014;soil11014
11060;soil11060
11061;soil11061
11064;soil11064
11065;soil11065
11066;soil11066
11067;soil11067
11068;soil11068
11070;soil11070
11385;soil11385
11399;soil11399
11400;soil11400
11401;soil11401
11402;soil11402
11403;soil11403
11404;soil11404
11426;soil11426
11427;soil11427
11428;soil11428
11429;soil11429
11430;soil11430
11524;soil11524
11529;soil11529
11530;soil11530
11531;soil11531
11593;soil11593
11594;soil11594
11630;soil11630
11631;soil11631
11691;soil11691
11692;soil11692
11760;soil11760
11791;soil11791
11792;soil11792
11825;soil11825
11830;soil11830
11833;soil11833
11836;soil11836
11900;soil11900
11910;soil11910
11911;soil11911
12146;soil12146
12186;soil12186
12187;soil12187
12192;soil12192
12217;soil12217
12218;soil12218
12219;soil12219
12220;soil12220
12225;soil12225
12226;soil12226
12230;soil12230
12231;soil12231
12232;soil12232
12233;soil12233
12238;soil12238
12268;soil12268
12269;soil12269
12270;soil12270
12271;soil12271
12272;soil12272
12273;soil12273
12274;soil12274
12277;soil12277
12278;soil12278
12279;soil12279
12280;soil12280
12281;soil12281
12282;soil12282
12283;soil12283
12284;soil12284
12285;soil12285
12286;soil12286
12287;soil12287
12288;soil12288
12289;soil12289
12290;soil12290
12291;soil12291
12292;soil12292
12293;soil12293
12294;soil12294
12295;soil12295
